dataset,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,20,500,2,350,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,350,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,350,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,400,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,400,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,400,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,400,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,400,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,400,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,450,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,450,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,450,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,450,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,450,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,450,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,500,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,500,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,500,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,500,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,500,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,2,500,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,50,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,50,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,50,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,50,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,50,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,50,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,100,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,100,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
webqsp,20,500,3,100,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883221,0.924954,0.904088
