dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
cwq,pseudo,20,500,1,24,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512562,0.527046,0.519804
cwq,pseudo,20,500,1,24,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512562,0.527046,0.519804
cwq,pseudo,20,500,1,24,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512562,0.527046,0.519804
cwq,pseudo,20,500,2,12,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.598712,0.611725,0.605218
cwq,pseudo,20,500,2,12,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599039,0.612008,0.605523
cwq,pseudo,20,500,2,12,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599039,0.612008,0.605523
cwq,pseudo,20,500,2,12,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599039,0.612008,0.605523
cwq,pseudo,20,500,2,12,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599039,0.612008,0.605523
cwq,pseudo,20,500,2,13,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599241,0.61399,0.606616
cwq,pseudo,20,500,2,13,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599474,0.61399,0.606732
cwq,pseudo,20,500,2,13,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599474,0.61399,0.606732
cwq,pseudo,20,500,2,13,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599474,0.61399,0.606732
cwq,pseudo,20,500,2,13,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.599474,0.61399,0.606732
cwq,pseudo,20,500,2,14,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.597193,0.612291,0.604742
cwq,pseudo,20,500,2,14,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.597404,0.612291,0.604848
cwq,pseudo,20,500,2,14,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.597404,0.612291,0.604848
cwq,pseudo,20,500,2,14,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.597404,0.612291,0.604848
cwq,pseudo,20,500,2,14,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.597404,0.612291,0.604848
cwq,pseudo,20,500,2,15,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.595727,0.611158,0.603443
cwq,pseudo,20,500,2,15,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.595906,0.611158,0.603532
cwq,pseudo,20,500,2,15,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.595906,0.611158,0.603532
cwq,pseudo,20,500,2,15,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.595906,0.611158,0.603532
cwq,pseudo,20,500,2,15,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.595906,0.611158,0.603532
cwq,pseudo,20,500,2,16,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.593248,0.609176,0.601212
cwq,pseudo,20,500,2,16,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.593428,0.609176,0.601302
cwq,pseudo,20,500,2,16,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.593428,0.609176,0.601302
cwq,pseudo,20,500,2,16,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.593428,0.609176,0.601302
cwq,pseudo,20,500,2,16,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.593428,0.609176,0.601302
cwq,pseudo,20,500,2,17,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.589909,0.606344,0.598126
cwq,pseudo,20,500,2,17,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.589975,0.606344,0.59816
cwq,pseudo,20,500,2,17,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.589975,0.606627,0.598301
cwq,pseudo,20,500,2,17,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.589975,0.606627,0.598301
