dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,3,8,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775374,0.845027,0.810201
webqsp,pseudo,20,500,3,10,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77404,0.848078,0.811059
webqsp,pseudo,20,500,3,10,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774563,0.848688,0.811626
webqsp,pseudo,20,500,3,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774687,0.848688,0.811687
webqsp,pseudo,20,500,3,10,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.848688,0.81174
webqsp,pseudo,20,500,3,10,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.848688,0.81174
webqsp,pseudo,20,500,3,10,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.848688,0.81174
webqsp,pseudo,20,500,3,12,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773094,0.848688,0.810891
webqsp,pseudo,20,500,3,12,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773094,0.848688,0.810891
webqsp,pseudo,20,500,3,12,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773122,0.848688,0.810905
webqsp,pseudo,20,500,3,12,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773184,0.848688,0.810936
webqsp,pseudo,20,500,3,12,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773184,0.848688,0.810936
webqsp,pseudo,20,500,3,12,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773184,0.848688,0.810936
webqsp,pseudo,20,500,3,14,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770645,0.846858,0.808751
webqsp,pseudo,20,500,3,14,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770645,0.846858,0.808751
webqsp,pseudo,20,500,3,14,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770645,0.846858,0.808751
webqsp,pseudo,20,500,3,16,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.75943,0.844417,0.801924
webqsp,pseudo,20,500,3,16,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.75943,0.844417,0.801924
webqsp,pseudo,20,500,3,16,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.75943,0.844417,0.801924
webqsp,pseudo,20,500,3,16,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.75943,0.844417,0.801924
webqsp,pseudo,20,500,3,16,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.75943,0.844417,0.801924
webqsp,pseudo,20,500,3,16,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.75943,0.844417,0.801924
webqsp,pseudo,20,500,4,6,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77094,0.840757,0.805848
webqsp,pseudo,20,500,4,6,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770913,0.841367,0.80614
webqsp,pseudo,20,500,4,6,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771463,0.841367,0.806415
webqsp,pseudo,20,500,4,6,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771575,0.841367,0.806471
webqsp,pseudo,20,500,4,6,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771575,0.841367,0.806471
webqsp,pseudo,20,500,4,6,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771575,0.841367,0.806471
webqsp,pseudo,20,500,4,8,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77295,0.841367,0.807158
webqsp,pseudo,20,500,4,8,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772862,0.841367,0.807115
webqsp,pseudo,20,500,4,8,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773319,0.841367,0.807343
webqsp,pseudo,20,500,4,8,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773431,0.841367,0.807399
webqsp,pseudo,20,500,4,8,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773431,0.841367,0.807399
